original,duplicate,label
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-9.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-2.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-21.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-5.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03EczemaExcoriated.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-7.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03EczemaExcoriated011204.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-8.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-28.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-10.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-30.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-12.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-118.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-128.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-31.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-13.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-14.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-16.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-26.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-8.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-7.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-13.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-7.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-14.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-20.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-16.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-11.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-40.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-6.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-42.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-nummular-20.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-50.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-penis-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-51.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-penis-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-52.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-3.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-6.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-48.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-11.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-47.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-12.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-46.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-15.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-45.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-21.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-chronic-22.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-24.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-36.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-25.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-32.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-27.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-28.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-29.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-53.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-3.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-20.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-34.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-19.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-35.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-16.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-emersion-foot-3.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-fingertips-62.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-fissure-10.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-fissure-8.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-fissure-9.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-10.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-heels-dry-cracked-10.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-9.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-heels-dry-cracked-11.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-vulva-2.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-155.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-vulva-3.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-156.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-scrotum-4.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-158.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-scrotum-3.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-159.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-174.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-lichen-simplex-chronicus-175.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-2.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-neurotic-excoriations-67.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-pompholyx-38.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-pompholyx-39.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-prurigo-nodularis-45.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-prurigo-nodularis-46.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-prurigo-nodularis-24.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-prurigo-nodularis-49.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-prurigo-nodularis-20.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-stasis-dermatitis-179.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-49.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-stasis-dermatitis-190.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-2.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-03DermatitisArm1.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-chapped-fissured-feet-10.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-chapped-fissured-feet-13.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03Desquamation-02.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-desquamation-4.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-24.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-10.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-7.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-4.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-8.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-5.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-03DermatitisLeg.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-6.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-21.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-8.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-23.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-arms-9.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-arms-7.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-chronic-2.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03eczema091205.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-chronic-20.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-fingertips-55.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-fingertips-56.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-fingertips-59.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-fingertips-58.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-12.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-foot-101.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-13.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-foot-102.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-impetiginized-5.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-foot-23.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-40.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-foot-41.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-22.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-impetiginized-4.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-foot-24.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-impetiginized-6.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-ears-5.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-impetiginized-8.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-ears-6.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-impetiginized-9.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-17.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-leg-3.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-chronic-29.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-nummular-11.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-stasis-dermatitis-194.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-nummular-14.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-36.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-15.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-leg-4.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-18.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-28.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-29.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-face-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-30.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-26.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-34.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-trunk-generalized-23.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-subacute-39.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-43.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-trunk-generalized-22.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-subacute-22.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-eczema-trunk-generalized-33.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-vulva-5.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-fissure-4.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-vulva-6.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-fissure-5.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-anal-2.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-lichen-simplex-chronicus-141.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-anal-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-lichen-simplex-chronicus-146.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-eczema-vulva-4.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-lichen-simplex-chronicus-157.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-lichen-simplex-chronicus-172.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-lichen-simplex-chronicus-176.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-emersion-foot-1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-maceration-5.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\t-03ChronicStaisis1.jpg,data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\v-stasis-dermatitis-195.jpg,1. Eczema 1677
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_22.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_27.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\203_0_3.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\207_0_8.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_23.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_35.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_0.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_93.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_32.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_5.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\4_0.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\4_39.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_9.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_0.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_24.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_1.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_14.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_100.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_11.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_101.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\4_9.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_102.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_53.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_104.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_22.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_106.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_11.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_107.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\2_3.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_109.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_40.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_11.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_17.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_110.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\1. Eczema 1677\2_13.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_111.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_18.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_112.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_5.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_114.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_13.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_116.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\0_37.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_117.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\3_10.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_119.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_15.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_122.jpg,10. Warts Molluscum and other Viral Infections - 2103
data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\2_6.jpg,data\raw\dataset2\IMG_CLASSES\10. Warts Molluscum and other Viral Infections - 2103\6_124.jpg,10. Warts Molluscum and other Viral Infections - 2103
